cluster_0	7omm_D_NA_A
cluster_58	6q0e_H_L_A 6q0h_H_L_A 6q0i_H_L_A 6q0l_H_L_A 6q0o_Z_B_A
cluster_59	5iq9_A_B_C 5iq9_H_L_P 6x58_A_B_E 6x58_C_D_F
cluster_60	6xpz_B_C_A 6xpz_E_F_D
cluster_61	7k93_E_e_A 7k93_G_g_B 7k93_I_i_C 7k93_K_k_D
cluster_62	3pgf_H_L_A 7mta_H_L_G 7mtb_H_L_G 7niu_C_B_A 7niv_C_B_A 7niw_C_B_A
cluster_63	1jp5_a_A_C 1jp5_b_B_D
cluster_64	1svz_a_A_C 1svz_b_B_D
cluster_65	1tzg_H_L_P 1tzg_I_M_Q 2fx7_H_L_P 2fx8_H_L_P 2fx8_I_M_Q 2fx8_J_N_R 2fx8_K_O_S 2fx9_H_L_P 2fx9_I_M_Q 3h3p_H_L_S 3h3p_I_M_T 3lh2_H_L_S 3lh2_I_M_T 3lh2_J_N_U 3lh2_K_O_V 3lhp_H_L_S 3lhp_I_M_T 4ngh_H_L_P 4nhc_H_L_P 4wy7_H_L_P 4xbe_H_L_P 4xc1_H_L_P 4xc3_H_L_P 4xcf_H_L_P 5cil_H_L_P 5cin_H_L_P 5x08_H_L_P 7ekb_H_L_P 7ekk_H_L_P 7sd3_I_M_D 7sd3_K_N_B
cluster_66	2ghw_B_b_A
cluster_67	4f9l_c_C_B 4f9l_d_D_A
cluster_68	4ot1_H_L_A 7kdd_D_E_A 7kdd_F_G_B 7kdd_H_I_C
cluster_69	5iwl_A_a_D 5iwl_B_b_C
cluster_70	5l6y_H_L_C
cluster_71	3jcb_C_B_A 3jcc_C_B_A 4nco_D_C_A 4nco_H_G_E 4nco_L_K_I 4tvp_H_L_G 5d9q_F_E_A 5d9q_H_L_G 5d9q_N_M_J 5fyl_H_L_G 5i8h_I_J_A 5i8h_K_L_C 5u7m_H_L_G 5u7o_H_L_G 5utf_H_L_G 5uty_H_L_G 5wdu_C_B_G 5wdu_L_K_F 5wdu_T_S_Q 6b0n_H_L_G 6cde_7_8_2 6cde_M_N_C 6cde_m_n_c 6cdi_5_6_2 6cdi_M_N_C 6cdi_m_n_d 6cue_5_6_2 6cue_M_N_C 6cue_m_n_c 6cuf_5_6_2 6cuf_M_N_C 6cuf_m_n_d 6de7_H_L_G 6mpg_5_6_2 6mpg_M_N_C 6mpg_m_n_V 6mph_M_N_C 6mph_X_Z_A 6mph_Y_a_B 6n1v_M_N_C 6n1v_X_Z_A 6n1v_Y_a_B 6n1w_5_6_C 6n1w_M_N_c 6n1w_m_n_2 6nf2_E_F_G 6nf2_J_K_A 6nf2_S_T_Q 6osy_5_6_2 6osy_C_D_B 6osy_M_N_K 6ot1_F_I_E 6ot1_Q_R_P 6ot1_m_n_G 6vlr_C_L_A 6vlr_D_K_H 6vlr_E_M_G 7lx2_H_L_A 7lx2_N_M_B 7lx2_P_O_C 7lx3_H_L_A 7lx3_N_M_B 7lx3_P_O_C 7lxm_H_L_A 7lxm_N_M_C 7lxm_P_O_E 7lxn_H_L_A 7lxn_I_M_C 7lxn_J_N_E
cluster_72	6lxi_H_L_A 6lxj_H_L_A 6lxk_E_F_D 6lxk_H_L_A 6lxk_J_K_C
cluster_73	6rcu_E_D_A 6rcv_E_D_A 6rcv_J_I_F 7phu_D_E_A 7ps6_C_D_E
cluster_74	6tou_A_a_G
cluster_75	6snh_H_L_X 6sni_H_L_X 6vi1_B_A_N 6vi1_E_D_M 6vi1_F_C_O 6vi1_H_G_P 6vi1_J_I_Q 6vi1_L_K_R 6xmi_B_A_C 6xmi_E_D_F
cluster_76	6wps_C_D_B 6wps_F_G_E 6wps_H_L_A 6wpt_D_E_A 6wpt_H_L_C 7bep_G_I_C 7bep_H_L_E 7jx3_A_B_R 7l0n_A_B_R 7l0n_C_D_S 7r6w_A_B_R 7r6x_A_B_R 7sob_G_I_A 7sob_H_J_D 7sob_N_O_K 7soc_H_L_A 7tly_A_B_I 7tm0_J_K_B 7tm0_L_M_C 7tm0_N_O_A 7tn0_B_A_I 7tn0_C_D_S 7x1m_A_B_M 7xck_A_B_M 7xco_H_L_A 7xco_M_N_B 7xco_O_P_C 7yad_A_B_M 7yad_C_D_E 7yqx_H_F_B 7yqx_I_G_A 7yqy_H_F_B 7yqy_I_G_A 7yqy_J_E_C 7yqz_I_G_A 7yqz_J_H_C 7yr0_C_B_A 8df5_A_B_R 8df5_C_D_S 8dw2_D_C_B 8dw3_D_C_B 8vye_A_D_K 8vye_I_J_E 8vye_R_S_O
cluster_77	7fcp_H_L_A 7fcq_H_L_A
cluster_78	7ld1_H_L_B 7ld1_M_N_C 7ld1_P_O_A 7sg4_H_L_A
cluster_79	7jmw_H_L_A 7lm8_H_L_A 7lq7_P_Q_A 7lq7_T_U_B 7lq7_y_z_E 7s5q_H_L_A 7s5r_H_L_A
cluster_80	2ghw_D_d_C
cluster_81	4ers_H_L_A 4lf3_B_A_C 4lf3_E_D_F 5xez_C_D_A 5xez_H_L_B 5xf1_C_D_A 5xf1_H_L_B
cluster_82	4nrx_A_B_C 4nrx_H_L_P
cluster_83	4xmp_H_L_G
cluster_84	5cez_H_L_G 5v7j_H_L_G 6mtj_H_L_G 6mtn_H_L_G 6mu6_H_L_G 6mu7_H_L_G 6mu8_H_L_G 6muf_H_L_G 6mug_H_L_G 6nm6_H_L_G 6nnf_H_L_G 6nnj_H_L_G 6vzi_H_L_G 6w03_H_L_G 6wix_H_L_G
cluster_85	5d1q_C_D_E 5d1x_C_D_E
cluster_86	5gs2_H_h_A
cluster_87	5k9q_H_L_B 5k9q_X_Y_R
cluster_88	5w6d_H_L_G
cluster_89	6ch7_Q_R_G 6ch8_Q_R_G 6ch9_Q_R_G 6chb_I_L_F 6chb_J_K_G 6chb_Q_R_H 6dfg_G_J_C 6dfg_H_L_A 6dfg_I_K_D
cluster_90	6e4x_Z_Y_B
cluster_91	6q18_H_L_A
cluster_92	6utk_H_L_G 6v6w_F_H_C 6v6w_I_J_G
cluster_93	6xxv_A_B_C 6xxv_D_E_F
cluster_94	6yye_C_c_A 6yye_D_d_B
cluster_95	7det_B_b_A 7det_D_d_C
cluster_96	7deu_B_b_A
cluster_97	7lo8_H_L_Z 7pg8_B_A_E 7pg8_F_D_H 7pg8_I_G_K 7pg8_L_J_C 7pg8_N_M_Q 7pg8_R_P_T 7pg8_U_S_W 7pg8_X_V_O
cluster_98	5ggv_H_L_Y 7czt_H_L_A 7czt_I_M_C 7tc9_H_L_B 7tca_D_E_C 7tca_H_L_B 7tcc_D_E_A 7tcc_H_L_B 7tcc_M_N_C 7u0d_M_N_B
cluster_99	7tp3_H_L_Z
cluster_100	8d47_B_A_D 8d47_H_L_C
cluster_101	8dv6_C_L_B 8dv6_H_D_A
cluster_102	1n0x_H_L_P 1n0x_K_M_R 2ny7_H_L_G 3ru8_H_L_X 5vn8_F_J_D 5vn8_H_L_G 5vn8_I_K_E
cluster_103	2zch_H_L_P 2zck_H_L_P 2zcl_H_L_P
cluster_104	3grw_H_L_A 4wv1_B_A_C 4wv1_E_D_F
cluster_105	3mlx_H_L_P 3mlx_I_M_Q 3mly_H_L_P 3mly_I_M_Q 3mlz_H_L_P
cluster_106	3ujj_H_L_P
cluster_107	3ux9_B_b_A 3ux9_D_d_C
cluster_108	4cau_D_d_C 4cau_E_e_A
cluster_109	4kv5_E_e_C 4kv5_G_g_D 4kv5_H_h_A 4kv5_J_j_B
cluster_110	4ydk_H_L_G
cluster_111	5bjz_C_L_A 5bjz_D_H_B 5bk1_C_D_B 5bk1_H_L_A 6ayz_B_D_A 6ayz_R_C_M 7pgb_A_B_C 7pgb_H_L_c 7pgb_R_S_T 7pgb_U_V_W 7pgb_X_Y_Z 7pgb_a_b_d 7pgb_f_g_e 7pgb_i_k_h 7pgb_m_n_l 7pgb_p_q_o
cluster_112	4xgz_H_L_h 4xh2_A_B_a 4xh2_C_D_c 4xh2_E_F_e 4xh2_G_I_g 4xh2_J_K_j 5c8j_A_B_I 5c8j_C_D_L 5c8j_E_F_J 5c8j_G_H_K
cluster_113	5d1z_D_C_I 5d1z_F_E_J
cluster_114	5esv_A_B_E 5esv_C_D_F 5esv_H_L_G
cluster_115	5jyl_B_b_A 5jyl_D_d_C
cluster_116	5t3x_H_L_G 5t3z_H_L_G 6ccb_D_E_C 6ccb_H_L_G 6okp_K_L_E 6orn_A_B_G 6orn_F_I_K 6orn_O_P_R 6udj_A_R_P 6udj_K_L_J 6udj_Q_B_G 6udk_A_B_G 6udk_F_I_K 6udk_O_P_R 6v8z_D_E_A 6v8z_J_K_G 6v8z_P_Q_M 7ucf_H_L_G 7ucg_H_L_G 7ucg_J_K_I 7ucg_Q_R_P 7ugn_M_P_A 7ugn_N_Q_B 7ugn_O_R_C 7ugo_M_P_A 7ugo_N_Q_B 7ugo_O_R_C 7ugp_M_P_A 7ugp_N_Q_B 7ugp_O_R_C 7ugq_M_P_A 7ugq_N_Q_B 7ugq_O_R_C 9bew_H_L_G 9bew_J_K_A 9bew_Q_R_M
cluster_117	5uem_H_L_G
cluster_118	5yax_B_b_C
cluster_119	6a4k_H_L_A 6a4k_I_M_B 6a4k_J_N_C 6a4k_K_O_D
cluster_120	6cdi_3_4_A 6cdi_H_L_D 6cdi_h_l_c 6cdo_A_B_C
cluster_121	6e56_G_I_D 6e56_H_J_A
cluster_122	6glw_C_D_B 6glw_H_L_A
cluster_123	6p3r_A_B_L 6p3r_C_D_E
cluster_124	6snc_B_A_C 6snc_H_L_P 6snd_B_A_C 6snd_H_L_P 6sne_B_A_O 6sne_D_C_J 6sne_F_E_N 6sne_H_L_P
cluster_125	6wio_A_B_C 6wir_A_B_C
cluster_126	6xq0_B_C_A 6xq0_E_F_D
cluster_127	7czw_H_L_A 7czw_J_N_C 7d03_H_L_A
cluster_128	7czx_H_K_A 7czx_I_M_B 7czx_J_N_C
cluster_129	7dpm_A_B_C 7dpm_D_E_F 7dpm_G_H_I
cluster_130	7epu_A_a_B
cluster_131	7f0x_B_b_A 7f12_B_b_A
cluster_132	7jum_H_h_A 7jum_I_i_B 7jum_J_j_C
cluster_133	7mzm_H_L_A
cluster_134	7r6w_H_L_R
cluster_135	7s07_H_L_A
cluster_136	7sd5_H_L_A 7ttm_H_L_A 7ttx_H_L_A 7tty_H_L_A
cluster_137	7unb_F_E_R
cluster_138	1g9m_H_L_G 1g9n_H_L_G 1gc1_H_L_G 1rzj_H_L_G 1rzk_H_L_G 1yyl_H_L_G 1yyl_R_Q_P 1yym_H_L_G 1yym_R_Q_P 2i5y_H_L_G 2i5y_R_Q_P 2i60_H_L_G 2i60_R_Q_P 2nxy_D_C_A 2nxz_D_C_A 2ny0_D_C_A 2ny1_D_C_A 2ny2_D_C_A 2ny3_D_C_A 2ny4_D_C_A 2ny5_H_L_G 2ny6_D_C_A 4jm2_D_C_E 4rqs_D_C_G 5a7x_D_C_A 5a7x_H_G_E 5a7x_L_K_I 5a8h_D_C_A 5a8h_J_I_G 5a8h_P_O_M 5thr_M_J_D 5thr_N_K_E 5thr_O_L_F 5vn3_H_L_G 5vn3_K_N_I 5vn3_M_O_J 6cm3_K_J_D 6cm3_M_L_F 6cm3_O_N_E 6opo_H_L_A 6opo_I_E_D 6opo_O_K_J 6opp_G_I_D 6opp_H_L_A 6opp_N_O_J 6opq_H_L_A 6opq_K_N_D 6opq_M_O_E 6x5b_H_L_A 6x5b_I_F_D 6x5b_O_M_J 7klc_D_C_A 7lo6_H_G_E 7lo6_J_I_C 7lo6_L_K_A 7lok_K_J_A 7lok_M_L_C
cluster_139	2qad_D_C_A 2qad_H_G_E
cluster_140	3etb_G_g_K 3etb_I_i_M
cluster_141	3etb_F_f_J 3etb_H_h_L
cluster_142	3idx_H_L_G 3idy_B_C_A 3idy_H_L_G
cluster_143	3iyw_H_L_A 3iyw_K_M_C
cluster_144	3thm_H_L_F 3tje_H_L_F
cluster_145	3uyp_A_a_B 3uze_B_b_D 3uzv_B_b_A
cluster_146	4glr_H_I_A 4glr_J_K_B
cluster_147	4i2x_B_A_E 4i2x_D_C_F 6bfs_H_L_C
cluster_148	4k8r_D_C_B
cluster_149	5esz_A_B_C 5esz_H_L_G
cluster_150	5f72_S_s_K 5f72_T_t_C
cluster_151	5t3x_D_E_G 5t3z_D_E_G 6chb_D_E_G 6chb_M_N_F 6chb_O_P_H
cluster_152	6dc3_H_L_F
cluster_153	6ejm_H_h_B 6ejm_I_i_A
cluster_154	6ncp_C_D_E
cluster_155	6njl_I_i_C 6njl_L_l_A 6njn_I_i_A 7ldd_I_i_C 7ldd_L_l_A 7lde_I_i_C 7lde_L_l_A
cluster_156	6o24_A_B_I
cluster_157	6oan_B_b_A 6oan_D_d_C
cluster_158	6oao_B_b_A 6oao_D_d_C 6oao_F_f_E 6oao_H_h_G 6oao_J_j_I 6oao_L_l_K
cluster_159	6uvo_H_L_D 7t8w_H_L_D
cluster_160	6woz_B_C_A 6woz_E_F_D 6woz_H_I_G 6woz_K_L_J
cluster_161	6y6c_C_c_B 6y6c_D_d_A 6ymq_A_a_G 6ymq_B_b_I 6ymq_C_c_J 6ymq_F_f_K
cluster_162	6ztr_A_B_J 6ztr_H_L_I
cluster_163	7bwj_H_L_E 8dcc_H_L_E
cluster_164	7c2l_H_L_A 7c2l_I_M_B 7c2l_J_N_C 8dls_H_L_A
cluster_165	7cu5_A_a_Q 7cu5_B_b_E
cluster_166	7czu_H_K_A 7czu_J_N_C 7czv_H_K_A 7czv_I_M_B 7czv_J_N_C 7ly3_D_C_A 7ly3_F_E_B
cluster_167	7lg6_H_L_A 7lg6_O_Q_E 7lg6_P_R_F 7ll1_E_F_C 7ll1_H_L_A 7ll1_J_K_G
cluster_168	7lo7_H_L_Z
cluster_169	7ps6_H_L_E 7q0h_H_L_E 7zf5_B_C_A 7zf5_H_L_E
cluster_170	7q0i_A_B_D 7q0i_H_L_C 7q9i_E_F_B 7q9i_H_L_A 7q9i_J_K_C
cluster_171	7sl5_A_B_C 7sl5_D_E_F 7sl5_G_H_I 7sl5_J_K_L
cluster_172	7swd_G_g_F 7swd_I_i_B
cluster_173	3h0t_B_A_C 7xxl_A_C_B
cluster_174	7zxk_H_L_C 7zxk_J_I_A
cluster_175	1f58_H_L_P 2f58_H_L_P 3f58_H_L_P
cluster_176	1ikf_H_L_C
cluster_177	2or9_H_L_P 2or9_I_M_P
cluster_178	3mlw_H_L_P 3mlw_I_M_Q
cluster_179	3skj_H_L_E 3skj_I_M_F
cluster_180	4c2i_H_L_C 4c2i_M_N_A
cluster_181	3j5m_D_C_A 3j5m_H_G_E 3j5m_L_K_I 3se9_H_L_G 4i3r_H_L_G 4i3s_H_L_G 6crq_D_E_A 6crq_I_K_B 6crq_J_L_F 6vo3_G_J_C 6vo3_H_L_A 6vo3_I_K_D 7rsn_E_J_C 7rsn_F_K_G 7rsn_H_L_A 7rso_G_J_C 7rso_H_L_A 7rso_I_K_D
cluster_182	4mwf_A_B_D 4mwf_H_L_C 6uyd_A_B_F 6uyd_H_L_E 6uym_A_B_F 6uym_H_L_E
cluster_183	4nik_B_b_A
cluster_184	4jm2_A_B_E 4nzr_H_L_M
cluster_185	4olu_H_L_G 4olv_H_L_G 4olw_H_L_G 4olx_H_L_G 4oly_H_L_G 4olz_H_L_G 4om0_H_L_G 4om1_H_L_G
cluster_186	4hpo_H_L_P 4ris_H_L_P 5wk3_Q_P_A 5wk3_S_R_B 5wk3_U_T_C 5wk3_W_V_D 7n4i_H_L_C
cluster_187	4s1q_H_L_G
cluster_188	4s1s_H_L_G
cluster_189	4xvs_H_L_G 4xvt_H_L_G
cluster_190	5aam_A_a_C 5aam_B_b_J 5aaw_A_a_C 5aaw_B_b_J 5aaw_D_d_E 5aaw_F_f_G 5aaw_H_h_I 5aaw_K_k_L
cluster_191	5e8e_B_A_H
cluster_192	5eu7_E_C_A 5eu7_F_D_B
cluster_193	5gru_L_l_A
cluster_194	6cmg_C_B_A 6cmi_D_C_B
cluster_195	6db5_H_L_P 6db5_I_M_Q
cluster_196	6iuv_C_D_B 6iuv_H_L_A
cluster_197	6mei_H_L_C 6mej_H_L_C 6mek_B_D_A 6mek_H_L_C
cluster_198	6phc_A_B_I 6phc_C_D_E
cluster_199	6uce_H_L_C 6ucf_H_L_A
cluster_200	6wfy_H_L_P
cluster_201	6wo4_H_L_E
cluster_202	5uek_H_L_A 6b70_C_D_A 6b70_E_F_B 6b7z_C_D_A 6b7z_E_F_B 6bf7_C_D_A 6bf7_E_F_B 6bf9_C_D_A 6bf9_E_F_B 6ww5_C_D_B 6ww5_E_F_A
cluster_203	6xpy_B_C_A
cluster_204	7bep_A_B_E 7bep_D_F_C 7nd8_H_L_B
cluster_205	7epx_H_L_A 7epx_I_M_B 7wop_C_c_A 7wor_E_e_B 7wos_E_e_B 7wos_G_g_C 7wou_E_e_B 7wou_G_g_C 7wov_E_e_A 7wov_G_g_B 7wov_I_i_C 7wow_E_e_A 7wow_G_g_B 7wow_I_i_C 7wow_N_n_J 7wow_P_p_K 7wow_R_r_L
cluster_206	7f15_B_b_A
cluster_207	4rrp_G_A_M 4rrp_H_B_N 4rrp_I_C_O 4rrp_J_D_P 4xtr_E_F_A 4xvu_C_D_B 4xvu_E_F_A 4xwo_E_F_B 4xwo_Q_R_N 4xwo_W_X_T 7jhg_H_L_A 7jhh_H_L_A 7m74_H_L_A
cluster_208	7jie_C_D_B 7jie_E_F_A
cluster_209	7kyl_H_L_E 7kyl_X_Y_Z
cluster_210	7lex_D_E_B 7lex_F_H_C 7lex_G_I_A 7lex_K_L_M 7lex_Q_O_N 7lex_R_P_J 7lez_D_E_B 7lez_R_P_N
cluster_211	7lu9_h_g_e 7lu9_l_k_f 7lu9_q_r_d
cluster_212	7m42_D_C_E
cluster_213	7oh1_E_D_A
cluster_214	7pr0_C_B_A 7pr0_H_L_E
cluster_215	7ps4_B_C_A 7ps4_H_L_E
cluster_216	7qnw_A_B_E 7qnx_A_B_E
cluster_217	7qti_B_C_A 7qti_G_H_K 7qti_I_J_D 7qtj_B_C_A 7qtk_B_C_D
cluster_218	5gs0_D_C_A 5gs0_F_E_B 7wvf_C_c_A
cluster_219	7zfb_A_B_E 7zfb_C_D_F 7zfc_H_L_E
cluster_220	2xqb_H_L_A
cluster_221	3se8_H_L_G 4cc8_F_J_D 4cc8_H_L_E 4cc8_I_K_G 6cde_5_6_2 6cde_Q_R_C 6cde_q_r_c 6cdi_8_7_2 6cdi_Q_R_C 6cdi_q_r_d 6cue_7_8_2 6cue_Q_R_C 6cue_q_r_c 6cuf_8_7_2 6cuf_Q_R_C 6cuf_q_r_d 6e5p_I_J_E 6e5p_O_P_C 6e5p_V_W_A 6mpg_8_7_2 6mpg_Q_R_C 6mpg_q_r_V 6mph_Q_R_C 6mph_f_h_A 6mph_g_i_B 6n1v_Q_R_C 6n1v_f_h_A 6n1v_g_i_B 6n1w_8_7_C 6n1w_Q_R_c 6n1w_q_r_2 6nf2_C_D_G 6nf2_N_M_A 6nf2_V_U_Q 6osy_8_7_2 6osy_F_E_B 6osy_P_O_K 6ot1_J_K_E 6ot1_S_T_P 6ot1_q_r_G 6v8z_C_F_A 6v8z_I_L_G 6v8z_O_R_M
cluster_222	4gxu_M_N_A 4gxu_O_P_C 4gxu_Q_R_E 4gxu_S_T_G 4gxu_U_V_I 4gxu_W_X_K
cluster_223	4i18_A_B_R 4i18_H_L_C
cluster_224	4jo3_H_L_P 4jo3_I_M_Q
cluster_225	4nnp_H_L_A 4nnp_X_Y_B 4xgz_J_K_j 4xgz_O_P_o
cluster_226	4xak_D_E_B 4xak_H_L_A 6yio_H_L_B
cluster_227	4ye4_H_L_G
cluster_228	4g7v_H_L_S 5bk2_C_D_B 5bk2_H_L_A 5vkd_H_L_A 5w2b_H_L_A 7tdm_H_L_B 9bei_H_L_B
cluster_229	5drz_B_A_Q 5drz_H_L_P 7n05_H_L_E
cluster_230	5ug0_D_C_A
cluster_231	4p9h_H_L_G 5a7x_N_M_A 5a7x_P_O_E 5a7x_R_Q_I 5a8h_L_K_G 5a8h_R_Q_M 5thr_P_Q_C 5thr_R_S_A 5thr_T_U_B 5viy_K_L_B 5viy_M_N_A 5vj6_M_N_B 6cm3_P_Q_B 6cm3_R_S_A 6cm3_T_U_C 7kde_Q_R_C 7kde_S_T_A
cluster_232	5w42_H_L_A
cluster_233	5wna_C_D_A 5wna_H_L_B 5wnb_H_L_B 5wnb_I_M_A
cluster_234	6ek2_H_h_A 6ek2_I_i_B
cluster_235	6mqr_H_L_A 6osy_H_L_A 6osy_I_J_G 6osy_R_S_Q
cluster_236	6o3g_A_B_I 6o3g_C_D_Q 6o3g_E_F_G 6o3g_H_L_S 6o3j_A_B_I 6o3j_H_L_G
cluster_237	6oej_B_C_A 6oej_H_L_G
cluster_238	6q1z_D_C_B 6q1z_H_L_A 6q20_H_L_A
